org_name,address,city,state,zip,phone,category,services
EASY LIVING CARE HOME,1716 RIDOSH CIRCLE ,NORTH LAS VEGAS,NV,89032,702-631-0701,"senior-services",assisted-living-individual
EMILIAS GROUP CARE,2401 SAGUARO POINT ST ,LAS VEGAS,NV,89115,702-985-1675,"senior-services",assisted-living-individual
FAMILIES FIRST CARE HOME LLC,4899 NARDINI AVENUE,LAS VEGAS,NV,89141,702-476-6318,"senior-services",assisted-living-individual
FAMILY FRIENDLY CARE HOME LLC,3784 EDISON AVE,LAS VEGAS,NV,89121,702-586-0710,"senior-services",assisted-living-individual
FRANCES RESIDENTIAL CARE,5540 KINGS ROW COURT,LAS VEGAS,NV,89148,702-798-5098,"senior-services",assisted-living-individual
GLORIOUS RESIDENTIAL HOME CARE INC,7425 GLORIOUS SUN DR ,LAS VEGAS,NV,89178,702-522-9386,"senior-services",assisted-living-individual
GREEN LEAF RESIDENTIAL HOME,2525 N JONES BLVD,LAS VEGAS,NV,89129,702-875-3741,"senior-services",assisted-living-individual
HAPPY ADULT CARE III,1917 QUAIL POINT CT ,LAS VEGAS,NV,89117,702-228-8088,"senior-services",assisted-living-individual
HAPPY ADULT CARE IV,6487 W CAMERO AVENUE ,LAS VEGAS,NV,89139,702-227-6422,"senior-services",assisted-living-individual
HAPPY LIFE HOME CARE,1259 SHADOW MOUNTAIN PLACE ,LAS VEGAS,NV,89108,702-769-0513,"senior-services",assisted-living-individual
HOME SWEET HOME SENIOR RESIDENCE,5404 JASPER BUTTE STREET ,LAS VEGAS,NV,89130,702-469-0135,"senior-services",assisted-living-individual
"JENTLE CARE, LLC",4457 E. MESA VISTA AVENUE ,LAS VEGAS,NV,89120,702-902-4721,"senior-services",assisted-living-individual
JEWEL OF THE DESERT,4267 ROCHELLE LANE,LAS VEGAS,NV,89121,702-436-0525,"senior-services",assisted-living-individual
JEWELL OF HEARTS,8525 WILD DIAMOND AVE ,LAS VEGAS,NV,89143,702-325-1868,"senior-services",assisted-living-individual
JOYFUL LIVING CARE HOME,7459 JADE MEADOWS STREET ,LAS VEGAS,NV,89113,808-756-0586,"senior-services",assisted-living-individual
KARENS CAREGIVER HOME,5713 EUGENE AVE,LAS VEGAS,NV,89108,702-647-0252,"senior-services",assisted-living-individual
LUXURY CARE,9669 BLACK COYOTE COURT ,LAS VEGAS,NV,89139,702-419-0874,"senior-services",assisted-living-individual
"LV RESIDENTIAL CARE, LLC",1953 WEENAP DR,LAS VEGAS,NV,89108,702-888-3676,"senior-services",assisted-living-individual
LYNNS HOME,3900 SAN JOAQUIN AVENUE,LAS VEGAS,NV,89102,702-338-8095,"senior-services",assisted-living-individual
MAJESTIC HOME,3976 MAJESTIC GROVE DRIVE ,LAS VEGAS,NV,89115,702-643-3693,"senior-services",assisted-living-individual
"MARIA DY HOME IN CARE, LLC",7282 BLOWING BREEZE AVENUE ,LAS VEGAS,NV,89179,702-318-2308,"senior-services",assisted-living-individual
"MARINA CARE HOME,LLC",5952 SUNRISE HILLS DR,LAS VEGAS,NV,89142,510-409-5579,"senior-services",assisted-living-individual
MEDIFLEX HOME CARE,220 SHADOW LANE,LAS VEGAS,NV,89106,702-382-3080,"senior-services",assisted-living-individual
MERRY MERRY HOUSE,333 RECCO ST,NORTH LAS VEGAS,NV,89030,702-491-1265,"senior-services",assisted-living-individual
MIMIS CARE HOME II,317 CORSICANA ST ,LAS VEGAS,NV,89138,702-767-5220,"senior-services",assisted-living-individual
MIMIS CARE HOME III,10293 WHISPY WILLOW WAY ,LAS VEGAS,NV,9.00E+05,702-767-5220,"senior-services",assisted-living-individual
MISTY MORNING CARE HOME,5183 MISTY MORNING DR ,LAS VEGAS,NV,89118,702-277-8837,"senior-services",assisted-living-individual
MY AGELU LEOLEO,8788 TIMBERLEAF COURT,LAS VEGAS,NV,89148,808-321-4261,"senior-services",assisted-living-individual
PASCO HOME CARE,4420 BACARA RIDGE AVENUE ,LAS VEGAS,NV,89115,702-912-0389,"senior-services",assisted-living-individual
PRECIOUS LIFE GROUP HOME CARE,6448 DUCK HILL SPRING ST ,LAS VEGAS,NV,89122,310-890-9896,"senior-services",assisted-living-individual
PRIME RESIDENTIAL CARE LLC,3719 TRUE SPRING PL ,NORTH LAS VEGAS,NV,89032,702-526-5506,"senior-services",assisted-living-individual
PRIME RESIDENTIAL CARE SUMMERLIN,8212 SEDONA SUNSET DR ,LAS VEGAS,NV,89128,702-529-1010,"senior-services",assisted-living-individual
QUEENSRIDGE MANOR,9236 WHITE KIRK PLACE ,LAS VEGAS,NV,89145,702-324-0314,"senior-services",assisted-living-individual
RAINDANCE HOME CARE LLC,1608 RAINDANCE WAY ,LAS VEGAS,NV,89169,702-696-1922,"senior-services",assisted-living-individual
RAMOS RESIDENTIAL CARE,8970 LIBERTYVALE DRIVE,LAS VEGAS,NV,89123,702-260-1055,"senior-services",assisted-living-individual
RANCHER CARE SERVICE LLC,5020 RANCHER AVENUE ,LAS VEGAS,NV,89108,775-513-7395,"senior-services",assisted-living-individual
RED SUNSET CARE HOME,1414 RED SUNSET AVENUE ,HENDERSON,NV,89074,702-260-4764,"senior-services",assisted-living-individual
ROSAL HOME HEALTH,7984 TIMBER HORN COURT,LAS VEGAS,NV,89147,702-220-8844,"senior-services",assisted-living-individual
ROSAL HOME HEALTH II,9567 SUNSHADE COURT ,LAS VEGAS,NV,89147,702-222-3268,"senior-services",assisted-living-individual
RUNAMAR II INDIVIDUAL CARE HOME,9632 W POST RD ,LAS VEGAS,NV,89148,702-629-4791,"senior-services",assisted-living-individual
RUNAMAR INDIVIDUAL CARE HOME,9624 WEST POST ROAD ,LAS VEGAS,NV,89148,702-798-0105,"senior-services",assisted-living-individual
SACHELE RESIDENTIAL CARE,5546 CRIOLLO DR ,LAS VEGAS,NV,89121,702-493-2727,"senior-services",assisted-living-individual
SAN ROQUE CARE HOME,4029 GALISTEO COURT ,LAS VEGAS,NV,89032,702-646-7398,"senior-services",assisted-living-individual
SAN ROQUE CARE HOME 1,9760 SPLENDOR SKY AVE,LAS VEGAS,NV,89148,702-798-1216,"senior-services",assisted-living-individual
SANFIL,1709 RYAN AVE ,LAS VEGAS,NV,89101,702-384-3232,"senior-services",assisted-living-individual
SENIOR HOME CARE RANCHO VISTA,212 RANCHO VISTA DRIVE,LAS VEGAS,NV,89106,702-646-5159,"senior-services",assisted-living-individual
SENIOR RESIDENTIAL CARE – VISTAS,11188 SALENTINO AVE,LAS VEGAS,NV,89138,702-325-5355,"senior-services",assisted-living-individual
SERENE ELDERLY CARE,2206 PESCARA COURT ,LAS VEGAS,NV,89123,702-270-3913,"senior-services",assisted-living-individual
SERENITY HOME CARE,4067 WHISPERING QUAIL CT ,LAS VEGAS,NV,89122,702-981-2779,"senior-services",assisted-living-individual
SOPHIA’S HOME CARE,1130 SAFFEX ROSE AVE ,HENDERSON,NV,89052,702-423-1283,"senior-services",assisted-living-individual
ST AUGUSTINE CARE HOME,1642 SUNRISE VIEW DRIVE,LAS VEGAS,NV,89156,702-437-1473,"senior-services",assisted-living-individual
ST FRANCIS GROUP HOME CARE VII,1560 GATEWAY AVE ,LAS VEGAS,NV,89104,702-586-1715,"senior-services",assisted-living-individual
ST MARY HOME FOR INDIVIDUAL RESIDENTIAL CARE,6735 GARDEN GROVE ,LAS VEGAS,NV,89103,702-727-9921,"senior-services",assisted-living-individual
SUMMERLIN HOME,10522 HAYWOOD DRIVE ,LAS VEGAS,NV,89135,702-445-9880,"senior-services",assisted-living-individual
SUNLIGHT RESIDENTIAL CARE,9723 SUNLIGHT CANYON COURT ,LAS VEGAS,NV,89123,702-616-2489,"senior-services",assisted-living-individual
SUNSET,4611 PHILADELPHIA AVENUE ,LAS VEGAS,NV,89104,702-580-9664,"senior-services",assisted-living-individual
SWEET HOME CARE I,4950 MOUNTAIN PEPPER DRIVE ,LAS VEGAS,NV,89148,702-813-7564,"senior-services",assisted-living-individual
TENDER LOVING CARE HOME,1120 CINDY LOVE AVENUE ,NORTH LAS VEGAS,NV,89081,702-778-3453,"senior-services",assisted-living-individual
TENDER TOUCH,4702 BEACH SHELL COURT,LAS VEGAS,NV,89121,702-767-0311,"senior-services",assisted-living-individual
TENDER TOUCH III,4433 CLOVERDALE AVENUE,LAS VEGAS,NV,89121,702-405-6895,"senior-services",assisted-living-individual
TIMELESS INDIVIDUAL RESIDENTIAL CARE,4617 SANTA MONICA AVE ,NORTH LAS VEGAS,NV,89032,702-395-5834,"senior-services",assisted-living-individual
TRANQUILITY HOME CARE,2920 GNAT CATCHER AVENUE ,NORTH LAS VEGAS,NV,89084,702-366-0901,"senior-services",assisted-living-individual
TRIPLE CORD CARE HOME,6636 LAVENDER LION STREET ,NORTH LAS VEGAS,NV,89086,702-486-6651,"senior-services",assisted-living-individual
TRUE LOVING CARE HOME (TLC),3418 COSTA VERDE STREET ,LAS VEGAS,NV,89146,702-453-8908,"senior-services",assisted-living-individual
UNIVERSAL HOME CARE,325 KENYA ROAD,LAS VEGAS,NV,89123,702-896-1934,"senior-services",assisted-living-individual
UPLAND RESIDENTIAL CARE,5617 ALTA DRIVE ,LAS VEGAS,NV,89107,702-637-6968,"senior-services",assisted-living-individual
"VILLA ARFA  HOME CARE, LLC",3658 BRONCO ROAD ,LAS VEGAS,NV,89103,702-239-8188,"senior-services",assisted-living-individual
WASHINGTON SENIOR GUEST HOME 1,1817 SPRING SUMMIT LN ,LAS VEGAS,NV,89134,702-870-7157,"senior-services",assisted-living-individual
WHITE ROSE RESIDENTIAL HOME,3720 BLISSFUL BLUFF STREET ,NORTH LAS VEGAS,NV,89032,540-369-1624,"senior-services",assisted-living-individual
WILMAS HOME,6822 GARDEN GROVE AVENUE ,LAS VEGAS,NV,89103,702-237-1644,"senior-services",assisted-living-individual
WINWOOD CARE HOME,2516 WINWOOD ST.,LAS VEGAS,NV,89104,702-384-6962,"senior-services",assisted-living-individual
WITH LOVE N CARE,3767 WEBFOOT ROAD ,LAS VEGAS,NV,89115,323-272-9796,"senior-services",assisted-living-individual
ZEVA HOME CARE,244 DATURA ST ,HENDERSON,NV,89074,702-476-5280,"senior-services",assisted-living-individual
