org_name,address,city,state,zip,phone,category,services
ANGEL’S TOUCH HOME CARE LLC,8382 MARCASEL DR,Las Vegas,NV,89123,702-983-4474,senior-services,personal-care-agencies
ANGELS HOME HEALTHCARE,2785 E DESERT INN RD STE 240,Las Vegas,NV,89121,702-823-1712,senior-services,personal-care-agencies
ANGELS OF JOY,3376 S EASTERN AVE #166,Las Vegas,NV,89169,702-893-3011,senior-services,personal-care-agencies
ANGELS TOUCH HOME HEALTHCARE INC,"2690 CHANDLER AVENUE, STE. 1",Las Vegas,NV,89120,702-561-6110,senior-services,personal-care-agencies
ANTHEM PERSONAL CARE SERVICES,8565 S EASTERN AVE,Las Vegas,NV,89123,702-328-7357,senior-services,personal-care-agencies
APRILS IN HOME CARE,1630 E. SAHARA AVENUE,Las Vegas,NV,89104,702-917-7320,senior-services,personal-care-agencies
"AR COMPLETE HOMECARE, INC.",1127 EMERALD STONE AVENUE NORTH,North Las Vegas,NV,89081,702-807-3440,senior-services,personal-care-agencies
ARMS OF ANGELS HOME CARE,6671 S LAS VEGAS BLVD,Las Vegas,NV,89119,702-546-9118,senior-services,personal-care-agencies
"ASIAN PERSONAL CARE, LLC.",5115 SPRING MOUNTAIN RD #221,Las Vegas,NV,89146,702-784-0888,senior-services,personal-care-agencies
AT HOME CAREGIVERS LLC,3017 W CHARLESTON BLVD,Las Vegas,NV,89102,702-240-3800,senior-services,personal-care-agencies
AT HOME SR SOLUTIONS,2961 E SERENE AVE HENDERSON NV 89074,Henderson,NV,89074,702-948-4848,senior-services,personal-care-agencies
AVANA PERSONAL CARE LLC,4550 W OAKEY BLVD STE 111-R,Las Vegas,NV,89102,702-822-2188,senior-services,personal-care-agencies
BRIGHTEN CARE,9333 W SUNSET ROAD SUITE A,Las Vegas,NV,89148,702-332-7960,senior-services,personal-care-agencies
BRIGHTSTAR CARE OF HENDERSON,40 E HORIZON RIDGE PARKWAY HENDERSON NV 89002,Henderson,NV,89002,702-608-8811,senior-services,personal-care-agencies
BRIGHTSTAR OF WEST CENTRAL LAS VEGAS,"5564 S FT APACHE RD, STE 120",Las Vegas,NV,89148,702-419-9085,senior-services,personal-care-agencies
"C & N PERSONAL CARE, LLC",6330 MCLEOD DRIVE STE 7,Las Vegas,NV,89120,702-716-6293,senior-services,personal-care-agencies
CARE 4 LIFE,430 SOUTH 15TH STREET,Las Vegas,NV,89101,702-233-9699,senior-services,personal-care-agencies
CARE SOLUTIONS OF SOUTHERN NEVADA LLC,8565 SOUTH EASTERN AVE STE156,Las Vegas,NV,89123,702-580-0538,senior-services,personal-care-agencies
"CARE TO BE HOME, LLC",8871 WEST FLAMINGO RD,Las Vegas,NV,89147,702-852-1477,senior-services,personal-care-agencies
CAREGIVERS HEALTH SERVICES INC,7251 W LAKE MEAD BLVD STE 300,Las Vegas,NV,89128,888-603-9533,senior-services,personal-care-agencies
CAREMAXX,"3975 W QUAIL AVENUE, #10",Las Vegas,NV,89118,888-226-8068,senior-services,personal-care-agencies
CAREN COMMUNITY CARETAKERS,4017 FABULOUS FINCHES AVENUE NORTH,North Las Vegas,NV,89084,702-384-2273,senior-services,personal-care-agencies
CARING FRIENDS HOME CARE LLC,2243 DOUBLE TREE AVE HENDERSON NV 89052,Henderson,NV,89052,702-343-7786,senior-services,personal-care-agencies
COMFORCARE HENDERSON,4045 S. SPENCER ST.-5246,Las Vegas,NV,89119,702-919-1580,senior-services,personal-care-agencies
COMFORT HANDS LLC,3435 W CRAIG RD STE C NORTH,North Las Vegas,NV,89032,702-538-8814,senior-services,personal-care-agencies
COMFORT KEEPERS,9402 DEL WEBB BLVD,Las Vegas,NV,89134,702-385-1000,senior-services,personal-care-agencies
COMFORT KEEPERS,2920 N GREEN VALLEY PKWY BLD 4 STE HENDERSON NV 89014,Henderson,NV,89014,702-360-7475,senior-services,personal-care-agencies
COMPANION CARE SUPPORT SERVICES,2620 REGATTA DRIVE SUITE 126,Las Vegas,NV,89128,702-553-2371,senior-services,personal-care-agencies
COMPASSION CREST LLC,1312 S. 8TH STREET ,Las Vegas,NV,89104,702-385-5158,senior-services,personal-care-agencies
CRITICAL NURSE STAFFING INC,"1050 EAST FLAMINGO ROAD, SUITE W-14",Las Vegas,NV,89119,877-259-9001,senior-services,personal-care-agencies
"CSSI BEHAVIORAL HEALTH SERVICES, LLC",3620 N RANCHO DRIVE STE 111 ,Las Vegas,NV,89130,702-639-4400,senior-services,personal-care-agencies
D D PERSONAL CARE LLC,3468 E SAHARA AVE,Las Vegas,NV,89104,702-207-0842,senior-services,personal-care-agencies
DESERT PCA,6128 W. SAHARA AVE ROOM A,Las Vegas,NV,89146,702-359-3105,senior-services,personal-care-agencies
DEVINE HOME HEALTH CARE LLC,3634 SENECA HIGHLAND NORTH,Las Vegas,NV,89032,702-503-8843,senior-services,personal-care-agencies
DIGNIFIED CARE INCORPORATED,3101 W CHARLESTON BLVD,Las Vegas,NV,89102,702-558-2273,senior-services,personal-care-agencies
DIVINE ELDER CARE,5550 PAINTED MIRAGE ROAD,Las Vegas,NV,89149,702-952-9500,senior-services,personal-care-agencies
DYNAMIC CAREGIVERS,2865 S JONES,Las Vegas,NV,89146,702-388-1700,senior-services,personal-care-agencies
"ELDERCARE SERVICES LV, LLC",8430 W LAKE MEAD BLVD,Las Vegas,NV,89128,702-480-9006,senior-services,personal-care-agencies
"EMBRACING HEARTS PCA, LLC",800 NORTH RAINBOW BLVD STE 208 UNIT 17,Las Vegas,NV,89107,702-966-7227,senior-services,personal-care-agencies
ESSENTIAL CARE NEVADA INC,10155 W TWAIN AVE SUITE 100,Las Vegas,NV,89147,702-487-1703,senior-services,personal-care-agencies
ETHNA HOME SERVICES,109 WOODLEY STREET,Las Vegas,NV,89106,702-563-9297,senior-services,personal-care-agencies
EVERCARE HEALTH SERVICES,9315 W. SUNSET RD,Las Vegas,NV,89148,702-240-2273,senior-services,personal-care-agencies
EVERYDAY MIRACLES HOME CARE,911 N BUFFALO DRIVE UNIT 210,Las Vegas,NV,89128,702-932-3500,senior-services,personal-care-agencies
EXCELLENCE HOME CARE SOLUTIONS LLC,1230 ROSE QUARTZ ROAD HENDERSON NV 89002,Henderson,NV,89002,702-604-0884,senior-services,personal-care-agencies
EXECUTIVE HOME CARE ASSISTANCE,3330 WYNN ROAD STE B,Las Vegas,NV,89102,702-325-3525,senior-services,personal-care-agencies
F.L.O.R.A.S. PERSONAL CARE ATTENDANT,1064 E SAHARA AVENUE,Las Vegas,NV,89104,702-767-2881,senior-services,personal-care-agencies
FALKNER PROFESSIONAL HOME CARE,701 N. GREEN VALLEY PARKWAY HENDERSON NV 89074,Henderson,NV,89074,888-270-8824,senior-services,personal-care-agencies
FAMILY PERSONAL CARE LLC,4550 W OAKEY BLVD. #108 A,Las Vegas,NV,89102,702-906-1999,senior-services,personal-care-agencies
FIRSTLIGHT HOMECARE OF NEVADA,139 E WARM SPRINGS ROAD,Las Vegas,NV,89119,702-467-4424,senior-services,personal-care-agencies
FIVE STAR HOME CARE SERVICES,8670 WEST CHEYENNE AVE.,Las Vegas,NV,89129,702-358-5232,senior-services,personal-care-agencies
"GIVING HOME HEALTH CARE, LLC","1050 EAST FLAMINGO ROAD, SUITE W-15",Las Vegas,NV,89119,702-335-3600,senior-services,personal-care-agencies
GOLDEN CROSS HOME CARE LLC,7762 W SAHARA AVENUE,Las Vegas,NV,89117,702-240-7711,senior-services,personal-care-agencies
GOLDEN HEART SENIOR CARE,3058 EMERALD WIND STREET HENDERSON NV 89052,Henderson,NV,89052,702-237-1611,senior-services,personal-care-agencies
GRACEFUL TOUCH LLC,800 N RAINBOW BLVD STE 212,Las Vegas,NV,89107,702-293-3888,senior-services,personal-care-agencies
GUARDIAN ANGEL HOME HELPER SERVICES,"2980 SOUTH RAINBOW BLVD, STE 110-J",Las Vegas,NV,89147,702-870-7044,senior-services,personal-care-agencies
HAVEN PERSONAL CARE SERVICES LLC,9175 TITAN HILL CT,Las Vegas,NV,89148,702-802-3585,senior-services,personal-care-agencies
HEALTH TO YOU,7251 W. LAKE MEAD BLVD,Las Vegas,NV,89128,702-405-8392,senior-services,personal-care-agencies
HEART FELT PERSONAL CARE,2350 S JONES BLVD SUITE 204,Las Vegas,NV,89146,702-728-7291,senior-services,personal-care-agencies
"HEAVENLY ANGELS HOME CARE SERVICES, LLC",517 COUNT AVENUE NORTH,North Las Vegas,NV,89030,702-778-7440,senior-services,personal-care-agencies
HIGH CLASS PERSONAL CARE LLC,5000 W OAKEY STE E-1,Las Vegas,NV,89146,702-733-2890,senior-services,personal-care-agencies
HOME ASSIST,4850 W FLAMINGO ROAD STE 25,Las Vegas,NV,89103,702-834-4446,senior-services,personal-care-agencies
"HOME CARE ASSISTANCE LAS VEGAS, LLC","7795 W SAHARA AVENUE, STE 106",Las Vegas,NV,89117,702-510-8170,senior-services,personal-care-agencies
HOME HEALTH CARE SPECIALIST,160 E HORIZON DR #A HENDERSON NV 89015,Henderson,NV,89015,702-644-3600,senior-services,personal-care-agencies
HOME HELPERS AND DIRECT LINK,441 CADENCE VIEW WAY HENDERSON NV 89011,Henderson,NV,89011,702-419-7134,senior-services,personal-care-agencies
HOME INSTEAD SENIOR CARE,2340 PASEO DEL PRADO D 112,Las Vegas,NV,89102,702-796-6393,senior-services,personal-care-agencies
HOMECARE ASSISTANCE,2480 W HORIZON RIDGE PARKWAY SUITE 120 HENDERSON NV 89052,Henderson,NV,89052,702-527-7723,senior-services,personal-care-agencies
HOMECARE BY M&D LLC,"340 E. WARM SPRINGS ROAD, SUITE 11B",Las Vegas,NV,89119,702-476-8809,senior-services,personal-care-agencies
HOMEWATCH CAREGIVERS OF SUMMERLIN,7151 CASCADE VALLEY CT 105,Las Vegas,NV,89128,702-341-8600,senior-services,personal-care-agencies
"HOPE PCA, LLC","1980 FESTIVAL PLAZA DR, SUITE 300",Las Vegas,NV,89135,702-357-0179,senior-services,personal-care-agencies
IN KARING ARMS INC,3052 BALCONES FAULT AVE NORTH,North Las Vegas,NV,89081,702-236-6158,senior-services,personal-care-agencies
INDEPENDENT LIFE,4955 S DURANGO DR STE 164,Las Vegas,NV,89113,702-871-2273,senior-services,personal-care-agencies
JLK HOME CARE INC,1455 E TROPICANA AVE,Las Vegas,NV,89119,702-893-2001,senior-services,personal-care-agencies
"JUST LIKE FAMILY, LLC",2110 E FLAMINGO ROAD #110 ,Las Vegas,NV,89119,702-806-3735,senior-services,personal-care-agencies
"LANDY’S CARE, LLC",4365 RAYNHAM STREET,Las Vegas,NV,89115,702-966-6615,senior-services,personal-care-agencies
LAS DOS AGUAS HOME HEALTH CARE,3376 S EASTERN AVENUE STE 188A,Las Vegas,NV,89169,702-980-5000,senior-services,personal-care-agencies
LAS VEGAS HEALTHCARE,4350 S ARVILLE ST STE 40,Las Vegas,NV,89103,702-202-3184,senior-services,personal-care-agencies
LAS VEGAS HOMECARE SERVICES INC,1980 FESTIVAL PLAZA DRIVE,Las Vegas,NV,89135,702-487-0455,senior-services,personal-care-agencies
"LAS VEGAS PCA, LLC",5600 SPRING MOUNTAIN ROAD,Las Vegas,NV,89146,702-769-3273,senior-services,personal-care-agencies
LEGACY HOME CARE,263 BARING CROSS STREET HENDERSON NV 89074,Henderson,NV,89074,702-564-2979,senior-services,personal-care-agencies
LIFESOURCE HOME CARE,3075 GREENBRIAR DR,Las Vegas,NV,89121,702-333-2344,senior-services,personal-care-agencies
LOVE’S HOME HEALTH CARE LLC,500 NORTH RAINBOW BLVD,Las Vegas,NV,89107,702-287-1962,senior-services,personal-care-agencies
LOVING CARE,1500 E TROPICANA AVENUE SUITE 141,Las Vegas,NV,89119,702-450-1704,senior-services,personal-care-agencies
LOVING HANDS OF NEVADA HOME HEALTH CARE L.L.C,153 W LAKE MEAD PKWY HENDERSON NV 89015,Henderson,NV,89015,702-566-2433,senior-services,personal-care-agencies
MAXIM HEALTHCARE SERVICES,1771 EAST FLAMINGO RD STE 220A,Las Vegas,NV,89119,702-560-2192,senior-services,personal-care-agencies
MIRACLE HANDS PERSONAL HOME CARE,"7465 W. LAKE MEAD BLVD, #100",Las Vegas,NV,89128,702-524-8166,senior-services,personal-care-agencies
MORNING ANGEL PERSONAL CARE LLC,5020 ALTA DR SUITE B,Las Vegas,NV,89107,702-403-7999,senior-services,personal-care-agencies
"MY PCA OF CHOICE, LLC",8645 S EASTERN AVE BLDG 110,Las Vegas,NV,89123,702-834-3272,senior-services,personal-care-agencies
NEVADA BEST PCA,5600 SPRING MOUNTAIN RD,Las Vegas,NV,89146,702-207-2526,senior-services,personal-care-agencies
NEW HOPE PERSONAL CARE LLC,3468 E. SAHARA AVE STE 170,Las Vegas,NV,89104,702-207-0842,senior-services,personal-care-agencies
NEW SUNSET PERSONAL CARE,"3355 W SPRING MOUNTAIN, #47",Las Vegas,NV,89102,702-444-1442,senior-services,personal-care-agencies
NUCLEAR CARE PARTNERS LLC,2810 W. CHARLESTON BLVD,Las Vegas,NV,89102,888-525-5111,senior-services,personal-care-agencies
"O’TEGA PERSONAL CARE SERVICES, INC",8455 W SAHARA AVENUE,Las Vegas,NV,89117,562-712-2536,senior-services,personal-care-agencies
P.C.S. PROFESSIONAL LLC,4326 W CHEYENNE AVE STE 107 NORTH,Las Vegas,NV,89032,702-636-4700,senior-services,personal-care-agencies
PARADISE PROFESSIONAL CARE I,"4760 S. PECOS RD, SUITE 103-19",Las Vegas,NV,89121,702-207-1005,senior-services,personal-care-agencies
PLUS HEALTH CARE AGENCY LLC,4348 LA JARA DR,Las Vegas,NV,89120,702-689-8670,senior-services,personal-care-agencies
PRECIOUS CARE AGENCY,3650 EASTERN AVENUE SUITE 330B ,Las Vegas,NV,89169,702-569-9616,senior-services,personal-care-agencies
PRINCESS PERSONAL CARE LLC,4640 W CHARLESTON BLVD,Las Vegas,NV,89102,702-327-9012,senior-services,personal-care-agencies
PRODUCTIVE HOMECARE SERVICES LLC,1517 SANTA ROSALIA DR NORTH,North Las Vegas,NV,89031,702-929-3297,senior-services,personal-care-agencies
PROFESSIONAL HEALTHCARE STAFFING INC – PCA,2820 W CHARLESTON BLVD #36,Las Vegas,NV,89102,702-362-0711,senior-services,personal-care-agencies
PROFESSIONAL IN-HOME CARE AGENCY,739 CAMINO DEL RAY HENDERSON NV 89012,Henderson,NV,89102,702-586-2891,senior-services,personal-care-agencies
QUALITY IN-HOME CARE SERVICES INC,2770 SOUTH MARYLAND PARKWAY #315,Las Vegas,NV,89109,702-480-0673,senior-services,personal-care-agencies
"QUALITY SENIOR CARE, LLC",2770 S MARYLAND PARKWAY,Las Vegas,NV,89109,702-937-7684,senior-services,personal-care-agencies
QUALITY SERVICE PERSONAL CARE,1515 EAST TROPICANA AVE STE 305,Las Vegas,NV,89119,702-259-0231,senior-services,personal-care-agencies
RAINBOW HELPERS PERSONAL CARE,220 E HORIZON DRIVE SUITE H HENDERSON NV 89015,Henderson,NV,89015,702-469-4892,senior-services,personal-care-agencies
REACHING OUT COMMUNITY SERVICES,5135 CAMINO AL NORTE N.,Las Vegas,NV,89031,702-853-6732,senior-services,personal-care-agencies
REALITY CORPORATION,9205 W RUSSELL RD,Las Vegas,NV,89148,702-793-4368,senior-services,personal-care-agencies
RIGHT AT HOME,2911 N TENAYA WAY STE 106,Las Vegas,NV,89128,702-367-3400,senior-services,personal-care-agencies
RIGHT AT HOME,50 S STEPHANIE ST STE 203 HENDERSON NV 89012,Henderson,NV,89012,702-434-8700,senior-services,personal-care-agencies
"ROSARIO E. MAGNO INT’L STAFFING LAS VEGAS, INC",3909 S MARYLAND PKWY UNIT 214,Las Vegas,NV,89119,702-369-1090,senior-services,personal-care-agencies
SAFE AT HOME LLC,3930 E. PATRICK LANE,Las Vegas,NV,89120,702-875-3741,senior-services,personal-care-agencies
SAN ANTONIO PERSONAL CARE,417 FOXVALE AVENUE NORTH,North Las Vegas,NV,89032,702-631-1199,senior-services,personal-care-agencies
SASHI’S HOME CARE LLC,3430 E. FLAMINGO RD. #208,Las Vegas,NV,89121,702-917-4702,senior-services,personal-care-agencies
SENIOR HELPERS,4079 N RANCHO DR #150,Las Vegas,NV,89130,702-802-4511,senior-services,personal-care-agencies
SENIOR SERVICES PERSONAL CARE LLC,336 SOUTH JONES BLVD,Las Vegas,NV,89107,702-953-7910,senior-services,personal-care-agencies
SHINE HOME CARE,10501 PACIFIC PALISADES AVENUE,Las Vegas,NV,89144,702-806-3258,senior-services,personal-care-agencies
SOUTHERN COMFORT PCA LLC,2020 PINTO LANE #A,Las Vegas,NV,89106,702-868-2905,senior-services,personal-care-agencies
SPECTRUM HOME SERVICES OF NEVADA,4079 N RANCHO DR STE 195,Las Vegas,NV,89130,702-214-7928,senior-services,personal-care-agencies
SPRING HILLS HOME CARE NEVADA,"1700 W. HORIZON RIDGE PARKWAY, SUITE 204 HENDERSON NV 89005",Henderson,NV,89052,702-338-7881,senior-services,personal-care-agencies
STARLIGHT PERSONAL CARE,332 S. DECATUR BLVD,Las Vegas,NV,89107,702-885-4454,senior-services,personal-care-agencies
STARLIGHT PERSONAL CARE,2801 S. VALLEY VIEW BLVD,Las Vegas,NV,89102,702-202-0978,senior-services,personal-care-agencies
STAY HOME,2770 S MARYLAND PKWY,Las Vegas,NV,89109,702-499-0748,senior-services,personal-care-agencies
SUNRISE HOME HEALTH LLC,5160 S. EASTERN AVE,Las Vegas,NV,89119,702-353-0602,senior-services,personal-care-agencies
"SWEETHEART PERSONAL CARE, LLC",4525 SANDHILL RD,Las Vegas,NV,89121,702-465-5965,senior-services,personal-care-agencies
SYNERGY HOMECARE OF WEST LAS VEGAS,1333 N. BUFFALO DRIVE,Las Vegas,NV,89128,702-534-1352,senior-services,personal-care-agencies
TABA PERSONAL CARE LLC,5160 S EASTERN AVE,Las Vegas,NV,89119,702-353-0602,senior-services,personal-care-agencies
TRIPLE C PERSONAL CARE AGENCY,1745 N NELLIS BLVD STE C,Las Vegas,NV,89115,702-459-7500,senior-services,personal-care-agencies
US NATIONAL PERSONAL CARE LLC,2881 S VALLEY VIEW BLVD,Las Vegas,NV,89102,702-253-1031,senior-services,personal-care-agencies
"VEGAS COMPASSIONATE CARE, LLC","800 N. RAINBOW BLVD, SUITE 169",Las Vegas,NV,89107,702-413-8026,senior-services,personal-care-agencies
VERAS HOME & HEALTH CARE LLC,1600 E DESERT INN RD SUITE 284,Las Vegas,NV,89169,702-488-2433,senior-services,personal-care-agencies
VICTORY HOME CARE CORP,"9159 W. FLAMINGO ROAD, STE 103",Las Vegas,NV,89147,702-463-5090,senior-services,personal-care-agencies
VISITING ANGELS,1701 N GREEN VALLEY PKWY # 9A HENDERSON NV 89074,Henderson,NV,89074,702-407-1100,senior-services,personal-care-agencies
"VNN HOME COMPANION SERVICES, INC",3100 W SAHARA STE 217,Las Vegas,NV,89102,562-313-4187,senior-services,personal-care-agencies
WARM HUGS – LV,9490 VETERANS CT,Las Vegas,NV,89148,702-586-4967,senior-services,personal-care-agencies
WE CARE 4 YOU HOME CARE,3316 MASTERCRAFT AVE. NORTH,North Las Vegas,NV,89031,702-929-1438,senior-services,personal-care-agencies
WELLNESS ALLIANCES,5250 S. RAINBOW BLVD,Las Vegas,NV,89118,702-815-9012,senior-services,personal-care-agencies
