org_name,category,services,phone,address
PARKWAY SURGERY CENTER LLC,hospitals-surgery-centers,surgery-centers,702-616-4954,100 N GREEN VALLEY PKWY STE 125 , HENDERSON,NV, 89074
PRECISION SURGERY CENTER,hospitals-surgery-centers,surgery-centers,702-310-9110,1701 BEARDEN DR , LAS VEGAS, NV,  89106
PREMIUM SURGICAL SERVICES CENTER,hospitals-surgery-centers,surgery-centers,702-221-9374,8954 SPANISH RIDGE AVE , LAS VEGAS, NV,  89148
RED ROCK SURGERY CENTER,hospitals-surgery-centers,surgery-centers,702-227-5848,7135 W SAHARA AVE STE 101 , LAS VEGAS, NV,  89117
SAHARA SURGERY CENTER,hospitals-surgery-centers,surgery-centers,702-362-7874,2401 PASEO DEL PRADO , LAS VEGAS, NV,  89102
SEVEN HILLS ASC,hospitals-surgery-centers,surgery-centers,702-914-2928,876 SEVEN HILLS DRIVE , HENDERSON,NV, 89502
SHEPHERD EYE SURGICENTER,hospitals-surgery-centers,surgery-centers,702-731-2088,3575 PECOS MCLEOD , LAS VEGAS, NV,  89121
SIENA SURGERY CENTER,hospitals-surgery-centers,surgery-centers,702-586-3211,2865 SIENA HEIGHTS DRIVE STE 200 , HENDERSON,NV, 89052
SINGLE DAY SURGERY CENTER,hospitals-surgery-centers,surgery-centers,702-368-6000,6950 W DESERT INN RD STE 100 , LAS VEGAS, NV,  89117
SMITH PLASTIC SURGERY BUILDING,hospitals-surgery-centers,surgery-centers,702-838-2455,7650 WEST SAHARA AVE , LAS VEGAS, NV,  89117
SMOKE RANCH SURGERY CENTER,hospitals-surgery-centers,surgery-centers,702-320-8111,7180 SMOKE RANCH RD , LAS VEGAS, NV,  89128
SOUTHWEST MEDICAL ASSOCIATES AMBULATORY SURGERY CENTER,hospitals-surgery-centers,surgery-centers,702-877-8638,2450 W CHARLESTON BLVD , LAS VEGAS, NV,  89102
SOUTHWEST MEDICAL SURGERY CENTER AT TENAYA,hospitals-surgery-centers,surgery-centers,702-952-3610,2650 N. TENAYA WAY , LAS VEGAS, NV,  89128
SPECIALTY SURGERY CENTER,hospitals-surgery-centers,surgery-centers,702-933-3999,7250 CATHEDRAL ROCK DR , LAS VEGAS, NV,  89128
SPRING VALLEY SURGERY CENTER,hospitals-surgery-centers,surgery-centers,702-227-4440,3835 S JONES BLVD STE 103 , LAS VEGAS, NV,  89146
SPRING VALLEY SURGERY CENTER,hospitals-surgery-centers,surgery-centers,702-227-4440,2705 W HORIZON RIDGE PKWY , HENDERSON,NV, 89052
SPRING VALLEY SURGERY CENTER,hospitals-surgery-centers,surgery-centers,702-227-4440,7175 N DURANGO DR STE 220 , LAS VEGAS, NV,  89149
SPRING VALLEY SURGERY CENTER,hospitals-surgery-centers,surgery-centers,702-227-4440,1050 E. SAHARA AVE. , LAS VEGAS, NV,  89104
SPRING VALLEY SURGERY CENTER LLC,hospitals-surgery-centers,surgery-centers,702-227-4440,1900 N NELLIS BLVD STE D , LAS VEGAS, NV,  89115
SPRING VALLEY SURGERY CENTER- BLUE DIAMOND,hospitals-surgery-centers,surgery-centers,702-227-4440,8828 MOHAWK STREET , LAS VEGAS, NV,  89139
STONECREEK SURGERY CENTER,hospitals-surgery-centers,surgery-centers,702-227-7959,5915 S RAINBOW BLVD , LAS VEGAS, NV,  89118
SUN VALLEY SURGERY CENTER,hospitals-surgery-centers,surgery-centers,702-489-5460,4090 N. MARTIN LUTHER KING BLVD. NORTH , LAS VEGAS, NV,  89032
SUNSET PAIN SURGERY CENTER,hospitals-surgery-centers,surgery-centers,480-766-6819,9120 W RUSSELL ROAD , LAS VEGAS, NV,  89148
SUNSET RIDGE SURGERY CENTER LLC,hospitals-surgery-centers,surgery-centers,702-917-3333,8352 W WARM SPRINGS ROAD STE 110 , LAS VEGAS, NV,  89113
SUNSET SURGERY CENTER LLC,hospitals-surgery-centers,surgery-centers,702-262-0079,9120 W RUSSELL ROAD , LAS VEGAS, NV,  89148
SURGEON'S SURGERY CENTER PLLC,hospitals-surgery-centers,surgery-centers,661-869-5684,6940 S. CIMARRON ROAD , LAS VEGAS, NV,  89113
SURGICAL ARTS CENTER,hospitals-surgery-centers,surgery-centers,702-933-3600,9499 W CHARLESTON BLVD STE 250 , LAS VEGAS, NV,  89117
TENAYA SURGICAL CENTER,hospitals-surgery-centers,surgery-centers,702-838-7755,2800 N TENAYA WAY STE 101 , LAS VEGAS, NV,  89128
VALLEY VIEW SURGERY CENTER,hospitals-surgery-centers,surgery-centers,702-477-7000,1330 S VALLEY VIEW BLVD , LAS VEGAS, NV,  89102
WARM SPRINGS SURGICAL CENTER,hospitals-surgery-centers,surgery-centers,702-802-5200,3235 E WARM SPRINGS ROAD STE 110 , LAS VEGAS, NV,  89120
WEST SUNSET SURGERY CENTER LLC,hospitals-surgery-centers,surgery-centers,702-476-2951,9331 W. SUNSET ROAD , LAS VEGAS, NV,  89148
