org_name,address,city,zip,state,phone,category,services
LAS VEGAS ALZHEIMER & MEMORY CARE 2,3225 BRAZOS STREET ,LAS VEGAS,89169,NV,702-471-7204,senior-services,assisted-living-group
LAS VEGAS ALZHEIMERS & MEMORY CARE 1,3224 BRAZOS STREET,LAS VEGAS,89169,NV,702-737-4396,senior-services,assisted-living-group
LAS VEGAS CHATEAU FOR SENIORS,4175 N TOMSIK ST,LAS VEGAS,89129,NV,702-478-8825,senior-services,assisted-living-group
LAS VENTANAS RETIREMENT COMM,10401 WEST CHARLESTON,LAS VEGAS,89135,NV,702-207-4215,senior-services,assisted-living-group
"LAURELWOOD GROUP HOME II,LLC",6565 MINTON CT,LAS VEGAS,89103,NV,702-580-5123,senior-services,assisted-living-group
LAURELWOOD GROUP HOME LLC,4752 TORRENCE DRIVE,LAS VEGAS,89103,NV,702-876-4224,senior-services,assisted-living-group
LEGACY HOUSE OF CENTENNIAL HILLS,6310 N. DURANGO DRIVE,LAS VEGAS,89149,NV,702-239-6778,senior-services,assisted-living-group
LIBERTY RESIDENTIAL CARE,3060 LIBERTY CIRCLE SOUTH,LAS VEGAS,89121,NV,702-457-7775,senior-services,assisted-living-group
LIFE SHARE CARE HOME NEVADA INC,7925 W ROSADA WAY,LAS VEGAS,89149,NV,408-854-0735,senior-services,assisted-living-group
LIVE N LOVE,4850 ARIZONA AVENUE,LAS VEGAS,89104,NV,702-756-5909,senior-services,assisted-living-group
"LIVINGSTON HOME II, LLC",5820 W. DESERT INN RD,LAS VEGAS,89146,NV,702-515-9959,senior-services,assisted-living-group
LIVINGSTON HOME LLC,5858 PALMYRA AVE,LAS VEGAS,89146,NV,702-202-4555,senior-services,assisted-living-group
"LV RESIDENTIAL CARE, LLC",1205 PONCE DE LEON STREET ,LAS VEGAS,89123,NV,702-954-4617,senior-services,assisted-living-group
MARTHA’S HOUSE SENIOR LIVING,1516 WINWOOD STREET,LAS VEGAS,89108,NV,702-636-8776,senior-services,assisted-living-group
MARVEL MANOR,4935 N DURANGO ,LAS VEGAS,89149,NV,702-395-7878,senior-services,assisted-living-group
"MASTER CARE GROUP HOMES, LLC",6562 W. MESA VISTA ,LAS VEGAS,89118,NV,702-331-5168,senior-services,assisted-living-group
MAYHILL MANOR,3855 MAYHILL AVE ,LAS VEGAS,89121,NV,702-454-9438,senior-services,assisted-living-group
MEADOWS CARE HOME,5125 MEADOWS LILLY AVE,LAS VEGAS,89108,NV,702-395-7674,senior-services,assisted-living-group
MERRILL GARDENS AT GREEN VALLEY RANCH,1935 PASEO VERDE PKWY,HENDERSON,89012,NV,702-568-7900,senior-services,assisted-living-group
MERRILL GARDENS AT SIENA HILLS,2920 W HORIZON RIDGE PARKWAY,HENDERSON,89052,NV,702-614-8733,senior-services,assisted-living-group
MERRILL GARDENS AT SIENA HILLS,2910 W HORIZON RIDGE PARKWAY ,HENDERSON,89052,NV,702-614-8733,senior-services,assisted-living-group
MIMI’S CARE HOME,3055 S PIONEER WAY,LAS VEGAS,89117+,NV,702-493-6745,senior-services,assisted-living-group
MOA FAMILY CARE LLC,4210 PATTERSON AVE,LAS VEGAS,89104,NV,702-431-4390,senior-services,assisted-living-group
MOA FAMILY CARE LLC,4847 NEW YORK STREET,LAS VEGAS,89104,NV,702-431-4390,senior-services,assisted-living-group
"MONARCH GROUP HOME, LLC.",6112 FISHER AVE,LAS VEGAS,89130,NV,702-581-6931,senior-services,assisted-living-group
MONTHILL PALMS,4062 MONTHILL AVE,LAS VEGAS,89121,NV,702-451-3284,senior-services,assisted-living-group
MORNING GLORY ALZHEIMERS HOME,1821 NAVARRE LANE,HENDERSON,89014,NV,702-434-1740,senior-services,assisted-living-group
MORNING STAR CARE HOME,7560 SILVER LEAF WAY ,LAS VEGAS,89147,NV,702-220-5551,senior-services,assisted-living-group
MOTHERS BEST CARE FOR THE ELDERLY,1225 S 8TH STREET,LAS VEGAS,89104,NV,702-382-1034,senior-services,assisted-living-group
MOTHER’S TOUCH SENIOR HOME,8918 KING JOHN COURT,LAS VEGAS,89149,NV,650-400-6090,senior-services,assisted-living-group
MYSTIC HAVEN,3421 CAMSORE POINT LANE,LAS VEGAS,89129,NV,702-255-9171,senior-services,assisted-living-group
NAZARENE SENIOR CARE HOME,5362 TOPAZ ST,LAS VEGAS,89120,NV,702-241-9515,senior-services,assisted-living-group
NEURORESTORATIVE NEVADA,7240 W. OAKEY BLVD,LAS VEGAS,89117,NV,702-423-9573,senior-services,assisted-living-group
NEVADA MEMORY CARE,2299 MONTESSOURI ST,LAS VEGAS,89117,NV,702-423-8833,senior-services,assisted-living-group
NOVA ALL STAR CARE HOMES,5525 ROSE THICKET STREET,LAS VEGAS,89130,NV,702-873-6243,senior-services,assisted-living-group
"NV HOME CARE FACILITIES, LLC",5268 CASPIAN DRIVE,LAS VEGAS,89118,NV,702-889-0518,senior-services,assisted-living-group
OAKMONT OF WEST LAS VEGAS,3250 SOUTH FORT APACHE ROAD,LAS VEGAS,89117,NV,702-628-5963,senior-services,assisted-living-group
OHANA ADULT CARE,1566 MT HOOD STREET ,LAS VEGAS,89110,NV,702-335-9467,senior-services,assisted-living-group
OLIVE GROVE RESIDENTIAL CARE FACILITY,9446 BACK BAY CIRCLE,LAS VEGAS,89123,NV,702-413-6947,senior-services,assisted-living-group
PACIFICA SENIOR LIVING GREEN VALLEY,2620 E ROBINDALE ROAD,HENDERSON,89074,NV,702-992-0000,senior-services,assisted-living-group
PACIFICA SENIOR LIVING REGENCY,3985 SOUTH PEARL STREET ,LAS VEGAS,89121,NV,702-436-6400,senior-services,assisted-living-group
PACIFICA SENIOR LIVING REGENCY,4025 SOUTH PEARL STREET,LAS VEGAS,89121,NV,702-436-6400,senior-services,assisted-living-group
PACIFICA SENIOR LIVING SAN MARTIN,8374 W CAPOVILLA AVE,LAS VEGAS,89113,NV,702-222-3600,senior-services,assisted-living-group
PACIFICA SENIOR LIVING SPRING VALLEY,8880 W TROPICANA AVE ,LAS VEGAS,89147,NV,702-920-0710,senior-services,assisted-living-group
PALM VALLEY ASSISTED LIVING,5975 W TWAIN AVE,LAS VEGAS,89103,NV,702-368-7700,senior-services,assisted-living-group
PALMS CARE HOME,8351 W HAMMER LN,LAS VEGAS,89149,NV,702-570-7598,senior-services,assisted-living-group
PARADISE CREST HOME CARE,4462 FARMCREST DRIVE,LAS VEGAS,89121,NV,702-433-2879,senior-services,assisted-living-group
PARADISO,7952 MONACO BAY COURT,LAS VEGAS,89117,NV,702-255-1273,senior-services,assisted-living-group
POET’S WALK HENDERSON,1750 WEST HORIZON RIDGE PARKWAY,HENDERSON,89012,NV,702-899-8028,senior-services,assisted-living-group
PRECIOUS CARE GROUP,7345 ACACIA WOODS CT,LAS VEGAS,89113,NV,725-605-6530,senior-services,assisted-living-group
PRESTIGE ASSISTED LIVING AT HENDERSON,1050 E LAKE MEAD PARKWAY,HENDERSON,89015,NV,702-564-1771,senior-services,assisted-living-group
PRESTIGE ASSISTED LIVING AT MIRA LOMA,2520 WIGWAM PARKWAY ,HENDERSON,89074,NV,702-260-8400,senior-services,assisted-living-group
PRIME CARE FACILITY,4920 RONAN DRIVE,LAS VEGAS,89110,NV,702-453-0581,senior-services,assisted-living-group
PRINCESS II GROUP HOME,10019 PRINCESS CUT ST ,LAS VEGAS,89183,NV,702-385-5588,senior-services,assisted-living-group
QUALITY CARE 4 SENIORS LLC,4369 ADELPHI AVENUE,LAS VEGAS,89120,NV,702-595-0058,senior-services,assisted-living-group
R & L ADULT CARE HOME #2,1013 STONEYPEAK AVE ,LAS VEGAS,89081,NV,702-478-5252,senior-services,assisted-living-group
R & L ADULT CARE HOME INC,1811 S 7TH STREET,LAS VEGAS,89104,NV,702-360-4445,senior-services,assisted-living-group
RAFAEL HOME CARE,3804 APACHE LANE ,LAS VEGAS,89107,NV,702-880-5852,senior-services,assisted-living-group
RAINBOW CONNECTIONS GROUP CARE HOME,820 ANTIGUA ST,LAS VEGAS,89145,NV,702-358-9917,senior-services,assisted-living-group
ROSARIOS GROUP HOME,2885 RED ROCK STREET,LAS VEGAS,89146,NV,702-343-0073,senior-services,assisted-living-group
ROSS SENIOR RESIDENCE,5935 W SADDLE AVE ,LAS VEGAS,89103,NV,702-365-6124,senior-services,assisted-living-group
ROYAL HAVEN,1913 COLLINS AVENUE,LAS VEGAS,89106,NV,702-366-9127,senior-services,assisted-living-group
RUNAMAR HOME HEALTH INC,7907 MOUNTAIN MAN WAY ,LAS VEGAS,89113,NV,702-221-8055,senior-services,assisted-living-group
SACHELE SENIOR GUEST HOME,3398 BANCROFT CIRCLE,LAS VEGAS,89121,NV,702-450-3152,senior-services,assisted-living-group
SACHELE SENIOR GUEST HOME II,3397 EL CAMINO REAL ,LAS VEGAS,89121,NV,702-435-9544,senior-services,assisted-living-group
SAINT ANNE RESIDENTIAL CARE CORP,3158 KINGSPOINT AVENUE,LAS VEGAS,89120,NV,702-433-9470,senior-services,assisted-living-group
SAINT BENEDICTS HOME,3625 S ROSEWOOD DR,LAS VEGAS,89121,NV,702-454-0532,senior-services,assisted-living-group
SAINT BENEDICTS HOME II,4532 E FLAMINGO ROAD,LAS VEGAS,89121,NV,702-435-1742,senior-services,assisted-living-group
SAN VICENTE HOME CARE,8460 RANCHO DESTINO RD ,LAS VEGAS,89123,NV,702-361-2358,senior-services,assisted-living-group
SANTA FE CARE HOME I,4621 EXPOSITION AVE,LAS VEGAS,89102,NV,702-685-8133,senior-services,assisted-living-group
SENIOR RESIDENTIAL CARE,2269 PACINI COURT ,HENDERSON,89052,NV,702-325-5355,senior-services,assisted-living-group
SENIOR RESIDENTIAL CARE – CENTENNIAL,8204 CABIN SPRINGS AVE,LAS VEGAS,89131,NV,702-395-7555,senior-services,assisted-living-group
SENIOR RESIDENTIAL CARE-SUMMERLIN,80 ALERION ST,LAS VEGAS,89138,NV,702-685-0322,senior-services,assisted-living-group
"SHINY STARS HOME CARE II, LLC",1032 SILVER CREEK,LAS VEGAS,89183,NV,725-777-3812,senior-services,assisted-living-group
SILVER HORIZON LLC,1900 ELIMINATOR DRIVE ,LAS VEGAS,89146,NV,702-463-3585,senior-services,assisted-living-group
SILVER HORIZON-HICKAM,8280 HICKAM AVENUE ,LAS VEGAS,89129,NV,702-489-8352,senior-services,assisted-living-group
SILVER SKY ASSISTED LIVING,8220 SILVER SKY DRIVE,LAS VEGAS,89145,NV,702-835-9040,senior-services,assisted-living-group
SILVER SKY AT DEER SPRINGS ASSISTED LIVING,6741 N DECATUR BLVD BLDG #3,LAS VEGAS,89130,NV,702-462-7700,senior-services,assisted-living-group
